"","PitchNo","Date","Time","PAofInning","PitchofPA","Pitcher","PitcherId","PitcherThrows","PitcherTeam","Batter","BatterId","BatterSide","BatterTeam","PitcherSet","Inning","Top.Bottom","Outs","Balls","Strikes","TaggedPitchType","AutoPitchType","PitchCall","KorBB","TaggedHitType","PlayResult","OutsOnPlay","RunsScored","Notes","RelSpeed","VertRelAngle","HorzRelAngle","SpinRate","SpinAxis","RelHeight","RelSide","Extension","VertBreak","InducedVertBreak","HorzBreak","PlateLocHeight","PlateLocSide","ZoneSpeed","VertApprAngle","HorzApprAngle","ZoneTime","ExitSpeed","Angle","Direction","HitSpinRate","PositionAt110X","PositionAt110Y","PositionAt110Z","Distance","LastTrackedDistance","Bearing","HangTime","pfxx","pfxz","x0","y0","z0","vx0","vy0","vz0","ax0","ay0","az0","HomeTeam","AwayTeam","Stadium","Level","League","GameID","PitchUID","EffectiveVelo","MaxHeight","MeasuredDuration","SpeedDrop","PitchLastMeasuredX","PitchLastMeasuredY","PitchLastMeasuredZ","ContactPositionX","ContactPositionY","ContactPositionZ","GameUID","UTCDate","UTCTime","LocalDateTime","UTCDateTime","AutoHitType","System","HomeTeamForeignID","AwayTeamForeignID","GameForeignID","Catcher","CatcherId","CatcherThrows","CatcherTeam","PlayID","PitchTrajectoryXc0","PitchTrajectoryXc1","PitchTrajectoryXc2","PitchTrajectoryYc0","PitchTrajectoryYc1","PitchTrajectoryYc2","PitchTrajectoryZc0","PitchTrajectoryZc1","PitchTrajectoryZc2","HitSpinAxis","HitTrajectoryXc0","HitTrajectoryXc1","HitTrajectoryXc2","HitTrajectoryXc3","HitTrajectoryXc4","HitTrajectoryXc5","HitTrajectoryXc6","HitTrajectoryXc7","HitTrajectoryXc8","HitTrajectoryYc0","HitTrajectoryYc1","HitTrajectoryYc2","HitTrajectoryYc3","HitTrajectoryYc4","HitTrajectoryYc5","HitTrajectoryYc6","HitTrajectoryYc7","HitTrajectoryYc8","HitTrajectoryZc0","HitTrajectoryZc1","HitTrajectoryZc2","HitTrajectoryZc3","HitTrajectoryZc4","HitTrajectoryZc5","HitTrajectoryZc6","HitTrajectoryZc7","HitTrajectoryZc8","ThrowSpeed","PopTime","ExchangeTime","TimeToBase","CatchPositionX","CatchPositionY","CatchPositionZ","ThrowPositionX","ThrowPositionY","ThrowPositionZ","BasePositionX","BasePositionY","BasePositionZ","ThrowTrajectoryXc0","ThrowTrajectoryXc1","ThrowTrajectoryXc2","ThrowTrajectoryYc0","ThrowTrajectoryYc1","ThrowTrajectoryYc2","ThrowTrajectoryZc0","ThrowTrajectoryZc1","ThrowTrajectoryZc2","PitchReleaseConfidence","PitchLocationConfidence","PitchMovementConfidence","HitLaunchConfidence","HitLandingConfidence","CatcherThrowCatchConfidence","CatcherThrowReleaseConfidence","CatcherThrowLocationConfidence","DetectedShift","X1B_PositionAtReleaseX","X1B_PositionAtReleaseZ","X2B_PositionAtReleaseX","X2B_PositionAtReleaseZ","X3B_PositionAtReleaseX","X3B_PositionAtReleaseZ","SS_PositionAtReleaseX","SS_PositionAtReleaseZ","LF_PositionAtReleaseX","LF_PositionAtReleaseZ","CF_PositionAtReleaseX","CF_PositionAtReleaseZ","RF_PositionAtReleaseX","RF_PositionAtReleaseZ","X1B_Name","X1B_Id","X2B_Name","X2B_Id","X3B_Name","X3B_Id","SS_Name","SS_Id","LF_Name","LF_Id","CF_Name","CF_Id","RF_Name","RF_Id","FHC","Counter_1","date_str","game_date","formatted_date","GameNumber","Games","Tilt_1","Tilt_2","Count","Zone_1","Zone_2","Zone_3","Zone_4","Zone_5","Zone_6","Zone_7","Zone_8","Zone_9","Zone_L1","Zone_L2","Zone_L3","Zone_L4","Zone_Name","AB","SLG_VAL","Out_Zone_NotSwinging","In_Zone_NotSwinging","Out_Zone_Swinging","In_Zone_Swinging","Strike_Awarded","SacrificeFly","hc_x","hc_y","location_x","location_y","season","strikeZone"
"1",1,"","",1,1,"Livengood, Josh",10072811,"Right","CEN_COL","Rivera, Fredison",1000229663,"Right","BER_COL1","Undefined",1,"Top",0,0,0,"Fastball","","BallCalled","Undefined","Undefined","Undefined",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CEN_COL","BER_COL1","GaryWright","D3","Team","20240416-GaryWright-1","e1d40570-fc3c-11ee-8791-cb7907cd9ef4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"decadbd8-2ea2-4bfa-ab3a-eb235ba6b22a","","","","","","v3",NA,NA,NA,"Weyler, Evan",1000190342,"Right","CEN_COL","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"false",1,"20240416",2024-04-16,"04-16-24","1","BER_COL1 vs CEN_COL on 04-16-24 , Game 1",NA,NA,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,"spring24",NA
"2",2,"2024-04-16","18:01:36.10",1,2,"Livengood, Josh",10072811,"Right","CEN_COL","Rivera, Fredison",1000229663,"Right","BER_COL1","Undefined",1,"Top",0,1,0,"Fastball","Four-Seam","BallCalled","Undefined","Undefined","Undefined",0,0,NA,86.40233,-4.847637,-1.827707,1960.180886,192.287055,7.01861,1.09593,5.84664,-18.25147,19.83985,4.02335,0.97995,-0.26775,78.54956,-8.296088,-1.106227,0.444206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.61386,12.02863,-0.94964,50,6.61282,3.81911,-124.8914,-11.11053,-4.08868,27.414,-13.3584,"CEN_COL","BER_COL1","GaryWright","D3","Team","20240416-GaryWright-1","e51e2760-fc3c-11ee-8791-cb7907cd9ef4",84.85348,NA,NA,7.85278,NA,NA,NA,NA,NA,NA,"decadbd8-2ea2-4bfa-ab3a-eb235ba6b22a","2024-04-16","22:01:36.10","2024-04-16T18:01:36.1002018-04:00","2024-04-16T22:01:36.1002018Z","","v3",NA,NA,NA,"Weyler, Evan",1000190342,"Right","CEN_COL","e7882a5a-c28b-49f0-b703-10b92d0bb70c",54.64818,-125.90756,13.707,7.01548,-10.61537,-6.6792,-1.09401,3.97066,-2.04434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","","","","","","NoShift",94.74032,83.14909,151.29092,67.48399,75.21624,-48.5129,147.26819,-42.81564,268.62709,-160.14946,352.88373,-2.2758,272.94908,143.42454,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"true",1,"20240416",2024-04-16,"04-16-24","1","BER_COL1 vs CEN_COL on 04-16-24 , Game 1",12,30,"1-0",0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",0,0,1,0,0,0,0,0,NA,NA,NA,NA,"spring24","out"
"3",3,"2024-04-16","18:01:49.99",1,3,"Livengood, Josh",10072811,"Right","CEN_COL","Rivera, Fredison",1000229663,"Right","BER_COL1","Undefined",1,"Top",0,2,0,"Fastball","Four-Seam","FoulBallNotFieldable","Undefined","Undefined","Undefined",0,0,NA,86.81914,-2.593207,-1.694315,1952.10792,194.805958,7.05169,0.986,5.82495,-17.60918,19.72395,4.88508,3.17086,-0.18244,79.19418,-5.938438,-0.818907,0.439763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.99421,11.2093,-0.85053,50,6.82941,3.52413,-125.91311,-6.20762,-4.78959,26.42589,-14.24354,"CEN_COL","BER_COL1","GaryWright","D3","Team","20240416-GaryWright-1","ed6aa290-fc3c-11ee-8791-cb7907cd9ef4",85.71083,NA,NA,7.62496,NA,NA,NA,NA,NA,NA,"decadbd8-2ea2-4bfa-ab3a-eb235ba6b22a","2024-04-16","22:01:49.99","2024-04-16T18:01:49.9918882-04:00","2024-04-16T22:01:49.9918882Z","","v3",NA,NA,NA,"Weyler, Evan",1000190342,"Right","CEN_COL","0f4c082c-b727-43bc-9a69-2e82055597dc",54.67151,-126.88975,13.21294,7.0491,-5.68121,-7.12177,-0.98405,3.70115,-2.39479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","","","","","","NoShift",93.36291,83.27009,144.48878,64.93234,76.22266,-50.14797,148.62394,-40.46044,267.68428,-159.39168,355.98558,-4.05194,271.42977,144.24671,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"true",2,"20240416",2024-04-16,"04-16-24","1","BER_COL1 vs CEN_COL on 04-16-24 , Game 1",12,30,"2-0",0,1,0,0,0,0,0,0,0,0,0,0,0,"2",0,0,0,0,0,0,0,0,NA,NA,NA,NA,"spring24","in"
"4",4,"2024-04-16","18:02:16.43",1,4,"Livengood, Josh",10072811,"Right","CEN_COL","Rivera, Fredison",1000229663,"Right","BER_COL1","Undefined",1,"Top",0,2,1,"Fastball","Four-Seam","BallCalled","Undefined","Undefined","Undefined",0,0,NA,86.30537,-1.554999,-1.770029,1898.516307,178.231704,7.05874,1.03386,6.05866,-14.02481,23.91253,-0.69453,4.44975,-0.66278,77.52306,-4.316349,-1.894945,0.443307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2298,13.13938,-0.89612,50,6.93009,3.89366,-125.04416,-3.68478,-0.35754,29.28149,-11.73004,"CEN_COL","BER_COL1","GaryWright","D3","Team","20240416-GaryWright-1","fd2a01d0-fc3c-11ee-8791-cb7907cd9ef4",85.02557,NA,NA,8.7823,NA,NA,NA,NA,NA,NA,"decadbd8-2ea2-4bfa-ab3a-eb235ba6b22a","2024-04-16","22:02:16.43","2024-04-16T18:02:16.4349474-04:00","2024-04-16T22:02:16.4349474Z","","v3",NA,NA,NA,"Weyler, Evan",1000190342,"Right","CEN_COL","bade68d9-3880-4c22-bfd4-fca9480ce374",54.43188,-126.0777,14.64075,7.05284,-3.27075,-5.86502,-1.03378,3.90628,-0.17877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","","","","","","NoShift",96.51593,84.63941,155.43036,71.27117,72.96059,-51.90294,146.29426,-43.23597,260.23495,-160.84794,354.05904,0.30483,272.8562,147.78007,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"true",3,"20240416",2024-04-16,"04-16-24","1","BER_COL1 vs CEN_COL on 04-16-24 , Game 1",12,0,"2-1",0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",0,0,1,0,0,0,0,0,NA,NA,NA,NA,"spring24","out"
"5",5,"2024-04-16","18:02:29.61",1,5,"Livengood, Josh",10072811,"Right","CEN_COL","Rivera, Fredison",1000229663,"Right","BER_COL1","Undefined",1,"Top",0,3,1,"Fastball","Changeup","BallCalled","Walk","Undefined","Undefined",0,0,NA,85.09702,-2.785568,-0.135047,1918.828887,199.914303,7.11977,1.29296,5.86342,-17.97052,21.03946,7.12591,3.03253,1.76133,77.24464,-6.215457,1.143647,0.44953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.6402,11.96205,-1.28593,50,6.88342,-0.00877,-123.33519,-6.47674,-5.55903,26.49345,-13.9065,"CEN_COL","BER_COL1","GaryWright","D3","Team","20240416-GaryWright-1","0505e0e0-fc3d-11ee-8791-cb7907cd9ef4",83.84847,NA,NA,7.85238,NA,NA,NA,NA,NA,NA,"decadbd8-2ea2-4bfa-ab3a-eb235ba6b22a","2024-04-16","22:02:29.61","2024-04-16T18:02:29.6130594-04:00","2024-04-16T22:02:29.6130594Z","","v3",NA,NA,NA,"Weyler, Evan",1000190342,"Right","CEN_COL","e908ae0a-b303-4564-a436-b5e1222de554",54.62918,-124.3256,13.24673,7.11582,-5.95687,-6.95325,-1.28948,0.19905,-2.77952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","","","","","","NoShift",95.13197,85.2489,148.46339,68.44632,73.34254,-51.00152,147.20614,-42.64003,265.56758,-162.10401,351.78277,-1.35048,281.0414,151.4557,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"true",4,"20240416",2024-04-16,"04-16-24","1","BER_COL1 vs CEN_COL on 04-16-24 , Game 1",12,45,"3-1",0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",0,0,1,0,0,0,0,0,NA,NA,NA,NA,"spring24","out"
"6",6,"2024-04-16","18:02:58.73",2,1,"Livengood, Josh",10072811,"Right","CEN_COL","Manrique, Marcelo",1000229684,"Right","BER_COL1","Undefined",1,"Top",0,0,0,"Slider","Slider","BallCalled","Undefined","Undefined","Undefined",0,0,NA,77.10988,0.653471,-3.602815,1711.759893,121.733946,6.90779,1.51182,5.67454,-42.82097,5.92146,-6.52067,3.94981,-2.39471,69.13803,-7.279554,-4.764187,0.502487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.98571,3.38658,-1.20374,50,6.93698,7.27401,-111.4376,-0.0657,2.43247,24.84633,-28.02547,"CEN_COL","BER_COL1","GaryWright","D3","Team","20240416-GaryWright-1","166ed170-fc3d-11ee-8791-cb7907cd9ef4",75.01176,NA,NA,7.97185,NA,NA,NA,NA,NA,NA,"decadbd8-2ea2-4bfa-ab3a-eb235ba6b22a","2024-04-16","22:02:58.73","2024-04-16T18:02:58.7314722-04:00","2024-04-16T22:02:58.7314722Z","","v3",NA,NA,NA,"Weyler, Evan",1000190342,"Right","CEN_COL","191e4c2b-3a28-440b-96b7-348f6cddbe6d",54.81603,-112.50626,12.42316,6.91388,1.13971,-14.01273,-1.51435,7.16939,1.21624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","","","","","","NoShift",62.27674,58.53778,148.13563,31.67279,82.08989,-60.44848,148.49933,-31.88515,281.62836,-165.33106,352.95279,-1.6487,278.61771,141.88601,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"true",5,"20240416",2024-04-16,"04-16-24","1","BER_COL1 vs CEN_COL on 04-16-24 , Game 1",10,0,"0-0",0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",0,0,1,0,0,0,0,0,NA,NA,NA,NA,"spring24","out"
"7",7,"2024-04-16","18:03:17.81",2,2,"Livengood, Josh",10072811,"Right","CEN_COL","Manrique, Marcelo",1000229684,"Right","BER_COL1","Undefined",1,"Top",0,1,0,"Fastball","Four-Seam","FoulBallNotFieldable","Undefined","Undefined","Undefined",0,0,NA,84.90459,-3.189343,-1.165563,1949.871435,195.165784,7.09944,1.34265,6.05552,-17.8208,21.21663,5.36906,2.65867,0.71109,76.90177,-6.607437,-0.198826,0.449689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.09292,12.28501,-1.25476,50,6.84173,2.28209,-122.99294,-7.30156,-4.68433,26.95963,-13.568,"CEN_COL","BER_COL1","GaryWright","D3","Team","20240416-GaryWright-1","21c8dac0-fc3d-11ee-8791-cb7907cd9ef4",83.81895,NA,NA,8.00282,NA,NA,NA,NA,NA,NA,"decadbd8-2ea2-4bfa-ab3a-eb235ba6b22a","2024-04-16","22:03:17.81","2024-04-16T18:03:17.8124322-04:00","2024-04-16T22:03:17.8124322Z","","v3",NA,NA,NA,"Weyler, Evan",1000190342,"Right","CEN_COL","7a2d7892-2517-4981-b3cc-aa06e9a34546",54.43676,-123.96164,13.47981,7.09533,-6.81404,-6.784,-1.33978,2.4504,-2.34217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","","","","","","NoShift",63.61072,58.91603,145.98918,31.11465,80.59692,-59.91497,150.89267,-32.75651,277.48548,-161.07949,351.25116,-1.78257,276.36478,141.26899,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"true",6,"20240416",2024-04-16,"04-16-24","1","BER_COL1 vs CEN_COL on 04-16-24 , Game 1",12,30,"1-0",0,0,0,0,0,1,0,0,0,0,0,0,0,"6",0,0,0,0,0,0,0,0,NA,NA,NA,NA,"spring24","in"
"8",8,"2024-04-16","18:03:38.54",2,3,"Livengood, Josh",10072811,"Right","CEN_COL","Manrique, Marcelo",1000229684,"Right","BER_COL1","Undefined",1,"Top",0,1,1,"Slider","Curveball","BallCalled","Undefined","Undefined","Undefined",0,0,NA,76.37889,-0.197699,-3.301498,1783.81256,103.425214,6.92289,1.57422,5.87021,-45.4403,2.94567,-5.62138,2.95227,-1.96416,69.90953,-8.555368,-4.308147,0.500646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.86421,2.09311,-1.30369,50,6.88094,6.59348,-110.7123,-1.76969,2.29502,21.26604,-29.59728,"CEN_COL","BER_COL1","GaryWright","D3","Team","20240416-GaryWright-1","2e255ff0-fc3d-11ee-8791-cb7907cd9ef4",75.28755,NA,NA,6.46936,NA,NA,NA,NA,NA,NA,"decadbd8-2ea2-4bfa-ab3a-eb235ba6b22a","2024-04-16","22:03:38.54","2024-04-16T18:03:38.5408034-04:00","2024-04-16T22:03:38.5408034Z","","v3",NA,NA,NA,"Weyler, Evan",1000190342,"Right","CEN_COL","855b6e4d-6fc0-4738-bd88-97611fce5e77",54.62528,-111.5972,10.63302,6.92896,-0.53811,-14.79864,-1.57606,6.49799,1.14751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","","","","","","NoShift",64.70333,58.88007,146.59459,31.12726,85.01115,-62.97972,149.77511,-33.82061,281.24791,-162.78956,352.39121,-5.37699,272.83125,142.83701,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"true",7,"20240416",2024-04-16,"04-16-24","1","BER_COL1 vs CEN_COL on 04-16-24 , Game 1",9,30,"1-1",0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",0,0,1,0,0,0,0,0,NA,NA,NA,NA,"spring24","out"
"9",9,"2024-04-16","18:03:57.07",2,4,"Livengood, Josh",10072811,"Right","CEN_COL","Manrique, Marcelo",1000229684,"Right","BER_COL1","Undefined",1,"Top",0,2,1,"Fastball","Four-Seam","StrikeSwinging","Undefined","Undefined","Undefined",0,0,NA,86.4747,-3.484916,-2.191617,1972.599571,188.501798,7.12428,1.41212,6.04692,-15.64871,21.27316,3.01646,2.58773,-0.36638,79.90512,-6.45544,-1.649196,0.437334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.095,12.16575,-1.24309,50,6.84393,4.68092,-125.45969,-8.05673,-3.37382,22.91386,-12.58233,"CEN_COL","BER_COL1","GaryWright","D3","Team","20240416-GaryWright-1","39393880-fc3d-11ee-8791-cb7907cd9ef4",86.18685,NA,NA,6.56959,NA,NA,NA,NA,NA,NA,"decadbd8-2ea2-4bfa-ab3a-eb235ba6b22a","2024-04-16","22:03:57.07","2024-04-16T18:03:57.0796578-04:00","2024-04-16T22:03:57.0796578Z","","v3",NA,NA,NA,"Weyler, Evan",1000190342,"Right","CEN_COL","290226bb-8061-4e3f-a908-a978c3e0844a",54.44988,-126.26979,11.45693,7.1209,-7.61189,-6.29116,-1.41069,4.8002,-1.68691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","","","","","","NoShift",65.21189,60.17738,148.16893,31.18355,85.46221,-63.36098,148.79906,-34.25787,277.29331,-161.62116,352.60363,-5.91983,274.8614,143.72344,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"true",8,"20240416",2024-04-16,"04-16-24","1","BER_COL1 vs CEN_COL on 04-16-24 , Game 1",12,15,"2-1",0,0,0,1,0,0,0,0,0,0,0,0,0,"4",0,0,0,0,0,1,1,0,NA,NA,NA,NA,"spring24","in"
"10",10,"2024-04-16","18:04:13.15",2,5,"Livengood, Josh",10072811,"Right","CEN_COL","Manrique, Marcelo",1000229684,"Right","BER_COL1","Undefined",1,"Top",0,2,2,"Fastball","Slider","StrikeCalled","Strikeout","Undefined","Undefined",0,0,NA,77.36219,-0.391138,-2.585264,1739.066522,90.387451,6.93926,1.58968,5.72129,-45.88424,1.68268,-7.018,2.75088,-1.40478,70.5606,-8.811933,-3.840499,0.496391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.74012,1.50795,-1.3694,50,6.8787,5.33051,-112.139,-2.22469,3.44593,22.62348,-30.27767,"CEN_COL","BER_COL1","GaryWright","D3","Team","20240416-GaryWright-1","42ce3940-fc3d-11ee-8791-cb7907cd9ef4",75.93296,NA,NA,6.80159,NA,NA,NA,NA,NA,NA,"decadbd8-2ea2-4bfa-ab3a-eb235ba6b22a","2024-04-16","22:04:13.15","2024-04-16T18:04:13.1586082-04:00","2024-04-16T22:04:13.1586082Z","","v3",NA,NA,NA,"Weyler, Evan",1000190342,"Right","CEN_COL","202d6fe7-802b-4f7d-9e82-e953e3e27083",54.77397,-113.09802,11.31174,6.94581,-0.9412,-15.13884,-1.59227,5.18444,1.72296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","","","","","","NoShift",64.88049,59.68496,147.37663,31.57287,98.54174,-68.15076,151.15718,-33.56849,282.49088,-165.23973,356.66359,-4.35978,268.88863,142.21753,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"true",9,"20240416",2024-04-16,"04-16-24","1","BER_COL1 vs CEN_COL on 04-16-24 , Game 1",9,0,"2-2",0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",1,0,1,0,0,0,1,0,NA,NA,NA,NA,"spring24","out"
